Time	Pressure
(-)	(bara)
31.07.2015 11:51:02	297.0244446
31.07.2015 11:53:56	297.0285339
31.07.2015 11:56:56	297.0326233
31.07.2015 12:00:01	297.0367126
31.07.2015 12:03:07	297.0407104
31.07.2015 12:06:17	297.0447083
31.07.2015 12:09:32	297.0486755
31.07.2015 12:12:52	297.0526733
31.07.2015 12:16:17	297.0566406
31.07.2015 12:19:46	297.0605774
31.07.2015 12:23:21	297.0645142
31.07.2015 12:27:01	297.0684509
31.07.2015 12:30:47	297.0723267
31.07.2015 12:34:36	297.0762329
31.07.2015 12:38:31	297.0800781
31.07.2015 12:42:31	297.0839233
31.07.2015 12:46:37	297.087738
31.07.2015 12:50:46	297.0915222
31.07.2015 12:55:01	297.0952759
31.07.2015 12:59:27	297.0990601
31.07.2015 13:03:57	297.1028442
31.07.2015 13:08:32	297.1065674
31.07.2015 13:13:11	297.11026
31.07.2015 13:18:02	297.1139832
31.07.2015 13:22:56	297.1176758
31.07.2015 13:27:57	297.1213074
31.07.2015 13:33:07	297.1249695
31.07.2015 13:38:22	297.1286011
31.07.2015 13:43:47	297.1322327
31.07.2015 13:49:17	297.1358032
31.07.2015 13:54:56	297.1394043
31.07.2015 14:00:41	297.1429443
31.07.2015 14:06:37	297.1465149
31.07.2015 14:12:36	297.1500244
31.07.2015 14:18:47	297.1535339
31.07.2015 14:25:07	297.1570129
31.07.2015 14:31:37	297.1605225
31.07.2015 14:38:12	297.1639404
31.07.2015 14:44:57	297.1673584
31.07.2015 14:51:52	297.1707764
31.07.2015 14:58:57	297.1741638
31.07.2015 15:06:12	297.1775513
31.07.2015 15:13:36	297.1809082
31.07.2015 15:21:11	297.1842651
31.07.2015 15:28:57	297.187561
31.07.2015 15:36:52	297.1908569
31.07.2015 15:44:56	297.1941223
31.07.2015 15:53:17	297.1973877
31.07.2015 16:01:46	297.2006531
31.07.2015 16:10:26	297.2038574
31.07.2015 16:19:21	297.2070923
31.07.2015 16:28:26	297.2102661
31.07.2015 16:37:47	297.2134705
31.07.2015 16:47:16	297.2166138
31.07.2015 16:57:01	297.2197571
31.07.2015 17:07:01	297.2229004
31.07.2015 17:17:12	297.2259827
31.07.2015 17:27:37	297.2290955
31.07.2015 17:38:17	297.2321777
31.07.2015 17:49:12	297.2352295
31.07.2015 18:00:22	297.2382813
31.07.2015 18:11:46	297.241333
31.07.2015 18:23:26	297.2443237
31.07.2015 18:35:27	297.247345
31.07.2015 18:47:41	297.2503662
31.07.2015 19:00:11	297.2533569
31.07.2015 19:13:01	297.2563477
31.07.2015 19:26:07	297.2593079
31.07.2015 19:39:32	297.2622681
31.07.2015 19:53:17	297.2652283
31.07.2015 20:07:17	297.268158
31.07.2015 20:21:36	297.2710876
31.07.2015 20:36:16	297.2740173
31.07.2015 20:51:17	297.2769165
31.07.2015 21:06:36	297.2798462
31.07.2015 21:22:22	297.2827454
31.07.2015 21:38:27	297.2856445
31.07.2015 21:54:52	297.2885437
31.07.2015 22:11:41	297.2914429
31.07.2015 22:28:57	297.294342
31.07.2015 22:46:32	297.2972107
31.07.2015 23:04:32	297.3001099
31.07.2015 23:22:56	297.303009
31.07.2015 23:41:46	297.3058777
01.08.2015 00:01:06	297.3087769
01.08.2015 00:20:51	297.311676
01.08.2015 00:41:01	297.3145752
01.08.2015 01:01:41	297.3174438
01.08.2015 01:22:51	297.320343
01.08.2015 01:44:32	297.3232727
01.08.2015 02:06:41	297.3261719
01.08.2015 02:29:22	297.329071
01.08.2015 02:52:32	297.3320007
01.08.2015 03:16:12	297.3348999
01.08.2015 03:40:27	297.3378296
01.08.2015 04:05:17	297.3407593
01.08.2015 04:30:41	297.3437195
01.08.2015 04:56:42	297.3466492
01.08.2015 05:23:16	297.3496094
01.08.2015 05:50:27	297.3525696
01.08.2015 06:18:16	297.3555603
01.08.2015 06:46:42	297.3585205
01.08.2015 07:15:46	297.3615112
01.08.2015 07:45:31	297.364502
01.08.2015 08:15:57	297.3674927
01.08.2015 08:47:06	297.3705139
01.08.2015 09:19:01	297.3735657
01.08.2015 09:51:36	297.3765869
01.08.2015 10:24:56	297.3796387
01.08.2015 10:59:06	297.3826904
01.08.2015 11:34:01	297.3857727
01.08.2015 12:09:46	297.388855
01.08.2015 12:46:21	297.3919373
01.08.2015 13:23:46	297.39505
01.08.2015 14:02:03	297.3981628
